	Gene
TF_Zn_Ribbon	1
COG3018	1
CAP_bacterial	1
Condensation,A_NRPS,PP-binding,EntF	1
MerR,WYL	1
ComA-like_MBL-fold	1
DoxX_2	1
Nitroreductase_3	1
COG4443	1
Tom37,GST_C_6	1
4HB_MCP_1,ZorA	1
HTH_DeoR,WYL	1
DUF3944,YaaW	1
Ifi-6-16	1
UDP_G4E_1_SDR_e	1
Exo,PolA	1
ResIII,COG3587	1
LanC_SerThrkinase	1
Sigma70_r2	1
DUF2000	1
BenE	1
MdaB	1
GT4_GT28_WabH-like	1
COG3421	1
MR_like_1	1
HTH_1,PBP2_CrgA_like	1
DUF3021,WD40	1
HTH_TipAL-Mta,UbiE	1
GATase1_PfpI_1	1
ParAB_family	1
KwaB	1
G1P_TT_short	1
OCDMu	1
dTDP_sugar_isom	1
CMD	1
PBP2_Sa-PDT_like	1
RmlD_sub_bind	1
ZorE/PtuB	1
PcfK	1
PcfJ	1
BCAT_beta_family	1
COG3666,betaPIX_CC,DDE_Tnp_1,DDE_Tnp_1_6	1
MscS	1
PaaK	1
MutS	1
RoxA	1
DEDDh,DnaE	1
NB-ARC	1
HdrC,NarI	1
bPH_2	1
DUF2788	1
HAD_HPP	1
HTH_29,HTH_33,DDE_3	1
COG1878	1
PRX_1cys	1
NMNAT_Archaea	1
DDE_Tnp_ISAZ013	1
TPH,DUF2130	1
NYN	1
ComEC	1
DUF3465	1
GIY-YIG_unchar_2	1
WD40,WD40	1
DUF3553,DUF4433	1
csm2gr11,csm2gr11	1
DUF4870	1
DM13	1
CBS_pair_bac,CP12	1
NAPRTase_A	1
NMNAT	1
MetC	1
PBP2_Arg_Lys_His	1
GPDPase_memb	1
GIY-YIG_HE_I-TevI_like	1
DHDPS-like	1
PBP2_taurine	1
Rieske_RO_ferredoxin	1
ArsB_NhaD_permease	1
TPR,TPR_12,TPR_19	1
LELP1	1
CSP_CDS,cmr6gr7	1
Ung	1
cmr5gr11,cmr6gr7	1
DUF4083	1
DUF333	1
HTH_XRE,TPR	1
DUF2200	1
Abhydrolase_3	1
PAF-AH_p_II	1
HTH_TipAL-Mta	1
Lnt	1
LytTR	1
Collagen_mid	1
SerS	1
YjhB,COG4111	1
GAT_Gln-NAD-synth,NAD_synthase	1
VCBS,VCBS,VCBS,VCBS,GH99_GH71_like	1
Cdd	1
DLP_2,Rick_17kDa_Anti	1
FliJ	1
icity0080	1
Imp-YgjV	1
Peptidases_S8_Autotransporter_serine_protease_like	1
PtsG1	1
PPM	1
DeoD	1
Udp	1
MATE_MepA_like	1
UPF0047	1
HTH_28,rve	1
DUF2887	1
ArgD	1
Voltage_gated_ClC	1
LivH	1
PabA	1
DRE_TIM_LeuA3,LeuA_dimer	1
DUF2283	1
AAA_16	1
DLP_2,MscS_porin	1
MscS_porin	1
Gph	1
MMR_HSR1,COG3597	1
PMSR	1
HDAC_AcuC_like	1
ErfK	1
RT,PrimPol	1
PTS_IIA_fru	1
Prok-JAB	1
Prok-E2_B,ThiF	1
FmdA	1
SpoVR	1
YeaH	1
PrkA	1
YhgE	1
HTH_XRE,TPR_19,TPR	1
csx1,Borrelia_orfA	1
Myosin_tail_1	1
Pfs	1
Pinin_SDK_memA,cmr1gr7	1
csm3gr7,csx21	1
Exonuc_V_gamma	1
GlgC	1
Fes	1
GT_WecA_like	1
KfrA_N,ERM	1
csx28	1
cas12b2	1
RpsO	1
CobN-Mg_chel	1
PG_binding_1,PGRP,PG_binding_1	1
FUR	1
RpoD	1
GpsA	1
LipA	1
Glucos_trans_II,COG4585	1
M20_Acy1	1
SARG,FlhG	1
FtsK	1
FlhG	1
DUF1421,FlhG	1
DUF4359	1
CAS_like	1
NrdR,NrdR	1
DUF4079	1
COG5637	1
csx27	1
COG4584,FecR	1
DDE_Tnp_4	1
HTH_20	1
DUF1822	1
CHASE2	1
NlpI	1
Peptidases_S8_13	1
MarR,WYL	1
cmr6gr7,cmr6gr7	1
cas10,DUF4441	1
DUF1664	1
Golgin_A5	1
GGN	1
RelA_SpoT	1
cas5,SSgr11	1
GGACT	1
NurA	1
Cas8b,Cas11b	1
cas11d2	1
cas8a9	1
Penicillinase_R	1
Phosphodiest	1
COG3349	1
PhrB	1
Upp	1
STKc_PknB_like,FAP,FHA	1
DUF11,FN3,Integrin_alpha2,PKD	1
YqxC	1
RT,Intron_maturas2	1
PhnB_like	1
BacA	1
DUF333,Inhibitor_I42	1
EVE	1
SodA	1
PrtC,DUF3656,PrtC	1
Putative_PNPOx	1
Sigma70_r3	1
csa3,SRPBCC_CalC_Aha1-like_GntR-HTH	1
RT,cas1,Pro-rich,cas2	1
RT,cas1,cas2	1
DUF262,DUF1524	1
HTH_BmrR	1
zinc_ribbon_2,RPL40A	1
TadA	1
WecG	1
DUF2905	1
VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS,VCBS	1
DUF3179	1
DnrI,COG3903,TPR	1
WcaA	1
